# Z (mm) 	 Energy Deposition (MeV)
0.35	0
1.05	0
1.75	0
2.45	0
3.15	0
3.85	0
4.55	0
5.25	0
5.95	0
6.65	0
7.35	0
8.05	0
8.75	0
9.45	0
10.15	0
10.85	0
11.55	0
12.25	0
12.95	0
13.65	0
14.35	0
15.05	0
15.75	0
16.45	0
17.15	0
17.85	0
18.55	0
19.25	0
19.95	0
20.65	0
21.35	0
22.05	0
22.75	0
23.45	0
24.15	0
24.85	0
25.55	0
26.25	0
26.95	0
27.65	0
28.35	0
29.05	0
29.75	0
30.45	0
31.15	0
31.85	0
32.55	0
33.25	0
33.95	0
34.65	0
35.35	0
36.05	0
36.75	0
37.45	0
38.15	0
38.85	0
39.55	0
40.25	0
40.95	0
41.65	0
42.35	0
43.05	0
43.75	0
44.45	0
45.15	0
45.85	0
46.55	0
47.25	0
47.95	0
48.65	0
49.35	0
50.05	0
50.75	0
51.45	0
52.15	0
52.85	0
53.55	0
54.25	0
54.95	0
55.65	0
56.35	0
57.05	0
57.75	0
58.45	0
59.15	0
59.85	0
60.55	0
61.25	0
61.95	0
62.65	0
63.35	0
64.05	0
64.75	0
65.45	0
66.15	0
66.85	0
67.55	0
68.25	0
68.95	0
69.65	0
70.35	0
71.05	0
71.75	0
72.45	0
73.15	0
73.85	0
74.55	0
75.25	0
75.95	0
76.65	0
77.35	0
78.05	0
78.75	0
79.45	0
80.15	0
80.85	0
81.55	0
82.25	0
82.95	0
83.65	0
84.35	0
85.05	0
85.75	0
86.45	0
87.15	0
87.85	0
88.55	0
89.25	0
89.95	0
90.65	0
91.35	0
92.05	0
92.75	0
93.45	0
94.15	0
94.85	0
95.55	0
96.25	0
96.95	0
97.65	0
98.35	0
99.05	0
99.75	2951.29
100.45	3664.32
101.15	3688.16
101.85	3680.32
102.55	3714.01
103.25	3754.22
103.95	3758.23
104.65	3732.22
105.35	3826.16
106.05	3804.17
106.75	3828.36
107.45	3866.35
108.15	3907.81
108.85	3877.86
109.55	3813.88
110.25	3902.32
110.95	3917.07
111.65	3910.66
112.35	3893.63
113.05	3985.63
113.75	3937.73
114.45	3904.53
115.15	4025.84
115.85	3965.47
116.55	3994.07
117.25	3988.47
117.95	4031.47
118.65	3991.56
119.35	3961.63
120.05	4058.89
120.75	4075.69
121.45	4042.57
122.15	4056.53
122.85	4154.92
123.55	4151.63
124.25	4144.2
124.95	4184.54
125.65	4199.46
126.35	4122.17
127.05	4116.7
127.75	4128.61
128.45	4080.71
129.15	4260.47
129.85	4163.39
130.55	4175.03
131.25	4169.68
131.95	4257.91
132.65	4220.94
133.35	4213.05
134.05	4115.24
134.75	4070.96
135.45	4218.96
136.15	4207.04
136.85	4207.92
137.55	4194.32
138.25	4182
138.95	4172.42
139.65	4356.71
140.35	4185.3
141.05	4146.15
141.75	4292.23
142.45	4408.38
143.15	4285.49
143.85	4305.87
144.55	4302.22
145.25	4378.51
145.95	4350.89
146.65	4385.76
147.35	4404.54
148.05	4501.42
148.75	4419.52
149.45	4387.27
150.15	4401.85
150.85	4321.84
151.55	4428.69
152.25	4364.89
152.95	4405.62
153.65	4331.93
154.35	4394.06
155.05	4403.92
155.75	4412
156.45	4446.08
157.15	4490.26
157.85	4542.1
158.55	4363.17
159.25	4425.7
159.95	4465.87
160.65	4485.36
161.35	4411.71
162.05	4502.54
162.75	4579.2
163.45	4630.71
164.15	4619.54
164.85	4489.23
165.55	4583.82
166.25	4553.28
166.95	4652.51
167.65	4584.75
168.35	4586.86
169.05	4647.72
169.75	4643.02
170.45	4692.34
171.15	4630.82
171.85	4690.1
172.55	4574.24
173.25	4610.12
173.95	4597.75
174.65	4764.78
175.35	4677.96
176.05	4694.22
176.75	4741.45
177.45	4680.32
178.15	4733.63
178.85	4647.05
179.55	4713.78
180.25	4719.5
180.95	4719.01
181.65	4634.35
182.35	4648.36
183.05	4603.74
183.75	4708.48
184.45	4726.16
185.15	4676.7
185.85	4640.98
186.55	4760.12
187.25	4758.1
187.95	4726.85
188.65	4821.43
189.35	4844.91
190.05	4893.17
190.75	4993.13
191.45	4935.38
192.15	4834.68
192.85	4817.44
193.55	4857.49
194.25	4887.31
194.95	4869.49
195.65	4814.15
196.35	4812.24
197.05	4940.93
197.75	4851.22
198.45	4904.84
199.15	4875.89
199.85	4807.55
200.55	4848.86
201.25	4912.37
201.95	4989.45
202.65	4890.91
203.35	4932.54
204.05	4910
204.75	4820.72
205.45	4946.44
206.15	4944.2
206.85	4966.15
207.55	4953.44
208.25	4799.51
208.95	4883.07
209.65	4915.43
210.35	4936.43
211.05	4921.85
211.75	4919.99
212.45	4953.34
213.15	4980.59
213.85	5014.6
214.55	4872.24
215.25	4909.48
215.95	4893.28
216.65	4939.06
217.35	5014.63
218.05	5057
218.75	4999.79
219.45	4977
220.15	5130.23
220.85	5168.91
221.55	5115.96
222.25	5001.86
222.95	5077.34
223.65	5093.01
224.35	5157.05
225.05	5057.56
225.75	5125.87
226.45	5332.33
227.15	5192.37
227.85	5244.11
228.55	5225.7
229.25	5186.05
229.95	5220.62
230.65	5249.34
231.35	5197
232.05	5079.6
232.75	5158.45
233.45	5214.73
234.15	5282.74
234.85	5168.86
235.55	5265.5
236.25	5156.21
236.95	5191.83
237.65	5224.26
238.35	5169.58
239.05	5229.13
239.75	5174.58
240.45	5294.14
241.15	5203.69
241.85	5365.83
242.55	5298.42
243.25	5280.73
243.95	5208.98
244.65	5254.26
245.35	5383.57
246.05	5354.57
246.75	5317.21
247.45	5355.3
248.15	5364.83
248.85	5369.31
249.55	5407.06
250.25	5408.79
250.95	5483.33
251.65	5521.29
252.35	5508.32
253.05	5485.59
253.75	5440.99
254.45	5322.93
255.15	5422.57
255.85	5353.29
256.55	5505.07
257.25	5598.7
257.95	5402.15
258.65	5499.98
259.35	5376.8
260.05	5551.98
260.75	5473.19
261.45	5560.84
262.15	5652.36
262.85	5508.29
263.55	5644.51
264.25	5577.25
264.95	5513.69
265.65	5698.89
266.35	5655.38
267.05	5647.05
267.75	5718.7
268.45	5709.02
269.15	5626.68
