# Z (mm) 	 Energy Deposition (MeV)
-249.5	0.0154213
-248.5	0.0124874
-247.5	0.00948291
-246.5	0
-245.5	0.0248223
-244.5	0
-243.5	0.0217987
-242.5	0.0117932
-241.5	0.00402168
-240.5	0.013692
-239.5	0.0178753
-238.5	0.012195
-237.5	0.0103054
-236.5	0.00433825
-235.5	0.0146529
-234.5	0
-233.5	0.0272631
-232.5	0.00883178
-231.5	0
-230.5	0.020396
-229.5	0.0197134
-228.5	0.0156298
-227.5	0.00454121
-226.5	0.0136333
-225.5	0.0202838
-224.5	0.00335598
-223.5	0.0220404
-222.5	0.0122418
-221.5	0.0050591
-220.5	0.0164818
-219.5	0.000968394
-218.5	0.0117357
-217.5	0.0198711
-216.5	0.000272045
-215.5	0.0156864
-214.5	0.00972817
-213.5	0.00984109
-212.5	0.015987
-211.5	0.0112199
-210.5	0
-209.5	0.0161484
-208.5	0
-207.5	0.0261481
-206.5	0.0123762
-205.5	0
-204.5	0.0227526
-203.5	0
-202.5	0.0188073
-201.5	0.00690302
-200.5	0.014134
-199.5	0.0119851
-198.5	0.00398029
-197.5	0.00893481
-196.5	0.00816721
-195.5	0.0160401
-194.5	0.0033311
-193.5	0
-192.5	0.0287243
-191.5	0.0139429
-190.5	0
-189.5	0.0216437
-188.5	0.00514395
-187.5	0.0169258
-186.5	0
-185.5	0.0203836
-184.5	0.0104836
-183.5	0.00956392
-182.5	0
-181.5	0
-180.5	0.027534
-179.5	0.013455
-178.5	0.0128426
-177.5	0.0051607
-176.5	0.0142061
-175.5	0.0143644
-174.5	0.00811278
-173.5	0.00543972
-172.5	0.0161518
-171.5	0.00569369
-170.5	0.00700759
-169.5	0
-168.5	0.0331434
-167.5	0.00411635
-166.5	0
-165.5	0
-164.5	0.0293632
-163.5	0.010199
-162.5	0.0117068
-161.5	0.00709483
-160.5	0.00983114
-159.5	0.0139416
-158.5	0.00899794
-157.5	0.00928837
-156.5	0
-155.5	0.0128882
-154.5	0.00875939
-153.5	0
-152.5	0.0294471
-151.5	0.0104866
-150.5	0.0034149
-149.5	9.27288
-148.5	0.2702
-147.5	0.326585
-146.5	0.271991
-145.5	0.355915
-144.5	0.384144
-143.5	0.343537
-142.5	0.369634
-141.5	0.350574
-140.5	0.328354
-139.5	0.240247
-138.5	0.417458
-137.5	0.307223
-136.5	0.43619
-135.5	0.352993
-134.5	0.314967
-133.5	0.362934
-132.5	0.236373
-131.5	0.311796
-130.5	0.365385
-129.5	0.407073
-128.5	0.334506
-127.5	0.294072
-126.5	0.377821
-125.5	0.330703
-124.5	0.243579
-123.5	0.351885
-122.5	0.282354
-121.5	0.346715
-120.5	0.364639
-119.5	0.314585
-118.5	0.214725
-117.5	0.293053
-116.5	0.32408
-115.5	0.381038
-114.5	0.317812
-113.5	0.350217
-112.5	0.340847
-111.5	0.373423
-110.5	0.318287
-109.5	0.223962
-108.5	0.376296
-107.5	0.257097
-106.5	0.350784
-105.5	0.305838
-104.5	0.480318
-103.5	0.193579
-102.5	0.295235
-101.5	0.336229
-100.5	0.270051
-99.5	0.206921
-98.5	0.2732
-97.5	0.225395
-96.5	0.240783
-95.5	0.33839
-94.5	0.322038
-93.5	0.371648
-92.5	0.199444
-91.5	0.320921
-90.5	0.394415
-89.5	0.327769
-88.5	0.383329
-87.5	0.267228
-86.5	0.410659
-85.5	0.168757
-84.5	0.40784
-83.5	0.247492
-82.5	0.374956
-81.5	0.304537
-80.5	0.270471
-79.5	0.193794
-78.5	0.327726
-77.5	0.311994
-76.5	0.35565
-75.5	0.341539
-74.5	0.302637
-73.5	0.405122
-72.5	0.366293
-71.5	0.330451
-70.5	0.255972
-69.5	0.359793
-68.5	0.159811
-67.5	0.240836
-66.5	0.413679
-65.5	0.338592
-64.5	0.350381
